# JULens Korean company-name reference
# Snapshot source: Naver Pay Securities US stock catalog (NASDAQ/NYSE/AMEX), 2026-08-15
# Format: ticker<TAB>display name
BGDE	빅 디지털 에너지
BGI	버크스 그룹
BGIN	비긴 블록체인
BGL	블루 골드
BGLC	바이오넥서스 진 랩
BGM	BGM 그룹
BGMS	바이오 그린 메드 솔루션
BGS	비앤지 푸즈
BGSF	BGSF
BGSI	보이드 그룹 서비스
BH	비글라리 홀딩스 Class B
BH.A	비글라리 홀딩스 Class A
BHAV	바브 애퀴지션
BHB	바 하버 뱅크셰어스
BHC	바슈 헬스 컴퍼니스
BHE	벤치마크 일렉트로닉스
BHF	브라이트하우스 파이낸셜
BHRB	버크 & 허버트 파이낸셜 서비스
BHST	바이오하베스트 사이언스
BHVN	바이오헤이븐
BIAF	바이오어피니티 테크놀로지스
BID	트라이베카 스트래티직 애퀴지션
BIIB	바이오젠
BIII	블랙 스페이드 애퀴지션 III
BILL	빌닷컴 홀딩스
BIO	바이오래드 래보라토리스 Class A
BIO.B	바이오래드 래보라토리스 Class B
BIOA	바이오에이지 랩스
BIOT	렐러티비티 애퀴지션
BIOX	바이오케레스 크랍 솔루션즈
BIPC	브룩필드 인프라스트럭처
BIRD	스마트버드
BIRK	버컨스톡 홀딩
BIVI	바이오비
BIXI	비트코인 인프라스트럭처 애퀴지션
BIYA	바이야 인터내셔널 그룹
BJ	BJ's 홀세일 클럽 홀딩스
BJDX	블루제이 다이어그노스틱스
BJRI	비제이스 레스토랑
BKD	브룩데일 시니어 리빙
BKE	버클
BKH	블랙 힐스
BKHA	블랙 호크 애퀴지션
BKKT	백트
BKNG	부킹 홀딩스
BKR	베이커 휴즈
BKSY	블랙스카이 테크놀로지
BKTI	BK 테크놀로지스
BKU	뱅크유나이티드
BKV	BKV
BKYI	바이오키 인터내셔널
BL	블랙라인
BLBD	블루 버드
BLCO	바슈롬
BLDP	발라드 파워 시스템즈
BLDR	빌더스 퍼스트소스
BLFS	바이오라이프 솔루션스
BLIN	브릿지라인 디지털
BLIV	비라이브 홀딩스
BLK	블랙록
BLKB	블랙보드
BLLN	빌리언투원
BLMN	블루민 브랜즈
BLND	블렌드 랩스
BLNE	비라인 홀딩스
BLNK	블링크 차징
BLRK	블루록 애퀴지션
BLSH	불리쉬
BLSM	블로섬힐 테라퓨틱스
BLUW	블루 워터 애퀴지션 III
BLX	블라덱스
BLZE	백블레이즈
BLZR	트레일블래이저 애퀴지션
BMBL	범블
BMEA	바이오미아 퓨전
BMGL	바젤 메디컬 그룹
BMHL	블루마운트 홀딩스
BMI	배저 미터
BMM	블루문 메탈스
BMNR	비트마인 이머전 테크놀로지스
BMO	뱅크 오브 몬트리올
BMR	비머 이미징
BMRA	바이오메리카
BMRC	뱅크 오브 마린 뱅코프
BMRN	바이오마린 파마슈티컬
BMY	브리스톨-마이어스 스큅
BN	브룩필드
BNAI	브랜드 인게이지먼트 네트워크
BNC	CEA 인더스트리스
BNED	반스 앤 노블 에듀케이션
BNGO	바이오나노 지노믹스
BNKK	봉크
BNS	뱅크 오브 노바 스코샤
BNT	브룩필드 웰스 솔루션스
BNTC	베니텍 바이오파마
BNY	뉴욕멜론은행
BOBS	밥스 디스카운트 퍼니처
BOC	보스톤 오마하
BODI	비치바디 컴퍼니
BOF	브랜치아웃 푸드
BOH	뱅크 오브 하와이
BOKF	BOK 파이낸셜
BOLD	바운드리스 바이오
BOLT	볼트 바이오테라퓨틱스
BON	본 내추럴 라이프
BOOM	DMC 글로벌
BOOT	부트 반 홀딩스
BORR	보르 드릴링
BOSC	B.O.S. 베터 온라인 솔루션스
BOT	로보스트래티지
BOTJ	뱅크 오브 더 제임스 파이낸셜
BOW	보우헤드 스페셜티 홀딩스
BOX	박스
BOXL	박스라잇
BPAC	블루포트 애퀴지션
BPOP	파퓰러
BPRN	뱅크 오브 프린스턴
BQ	보치 홀딩 ADR
BR	브로드리지 파이낸셜 솔루션스
BRAG	브래그 게이밍 그룹
BRAI	브레인
BRBR	벨링 브랜드
BRBS	블루 리지 뱅크셰어스
BRC	브래디
BRCB	블랙 락 커피 바
BRCC	BRC
BREZ	브리즈 애퀴지션 II
BRFH	바프레시 푸드 그룹
BRIA	브릴리아
BRID	브리지포드 푸즈
BRK.A	버크셔 해서웨이 Class A
BRK.B	버크셔 해서웨이 Class B
BRKH	버테크 애퀴지션 II
BRKR	브루커
BRLS	보레알리스 푸드
BRLT	브릴리언트 어스 그룹
BRN	반웰 인더스트리스
BRO	브라운 & 브라운
BROS	더치 브로스
BRR	프로캡 파이낸셜
BRSL	브라이트스타 로터리
BRTX	바이오리스토러티브 테라피스
BRUN	부스트 런
BRVE	브레이브하트 바이오
BRZE	브레이즈
BSAA	베스트 스팩 I 애퀴지션
BSBK	보고타 파이낸셜
BSEM	바이오스템 테크놀로지스
BSET	바셋 퍼니처 인더스트리스
BSIN	빅 스카이 인더스트리얼
BSP	벤딩 스푼스
BSRR	시에라 뱅코프
